Date,AAPL,BAC,BTC-USD,COKE,DOGE-USD,ETH-USD,GOOG,INTC,JPM,MCD,MS,MSFT,NFLX,NKE,VOD
1980-01-02,,1.6875,,6.875,,,,,,1.055556058883667,,,,,
1980-01-03,,1.671875,,6.75,,,,,,1.05246901512146,,,,,
1980-01-04,,1.671875,,7.0,,,,,,1.0679010152816772,,,,,
1980-01-07,,1.6875,,7.0,,,,,,1.058642029762268,,,,,
1980-01-08,,1.671875,,7.0,,,,,,1.0740740299224854,,,,,
1980-01-09,,1.75,,7.125,,,,,,1.0925929546356201,,,,,
1980-01-10,,1.71875,,7.125,,,,,,1.1234569549560547,,,,,
1980-01-11,,1.71875,,7.125,,,,,,1.1080249547958374,,,,,
1980-01-14,,1.71875,,7.375,,,,,,1.10493803024292,,,,,
1980-01-15,,1.734375,,7.375,,,,,,1.0956790447235107,,,,,
1980-01-16,,1.765625,,7.75,,,,,,1.1018520593643188,,,,,
1980-01-17,,1.765625,,7.75,,,,,,1.0709880590438843,,,,,
1980-01-18,,1.78125,,7.75,,,,,,1.058642029762268,,,,,
1980-01-21,,1.875,,7.75,,,,,,1.0617280006408691,,,,,
1980-01-22,,1.890625,,7.75,,,,,,1.0432100296020508,,,,,
1980-01-23,,1.875,,7.75,,,,,,1.055556058883667,,,,,
1980-01-24,,1.765625,,7.625,,,,,,1.1018520593643188,,,,,
1980-01-25,,1.75,,7.625,,,,,,1.0987650156021118,,,,,
1980-01-28,,1.75,,7.5,,,,,,1.1172840595245361,,,,,
1980-01-29,,1.765625,,7.375,,,,,,1.1018520593643188,,,,,
1980-01-30,,1.71875,,7.375,,,,,,1.1018520593643188,,,,,
1980-01-31,,1.75,,7.375,,,,,,1.0648150444030762,,,,,
1980-02-01,,1.6875,,7.25,,,,,,1.0771600008010864,,,,,
1980-02-04,,1.671875,,7.25,,,,,,1.058642029762268,,,,,
1980-02-05,,1.65625,,7.125,,,,,,1.058642029762268,,,,,
1980-02-06,,1.640625,,7.25,,,,,,1.05246901512146,,,,,
1980-02-07,,1.703125,,7.25,,,,,,1.058642029762268,,,,,
1980-02-08,,1.6875,,7.375,,,,,,1.0432100296020508,,,,,
1980-02-11,,1.640625,,7.375,,,,,,1.0462960004806519,,,,,
1980-02-12,,1.6875,,7.375,,,,,,1.0308640003204346,,,,,
1980-02-13,,1.65625,,7.5,,,,,,1.0432100296020508,,,,,
1980-02-14,,1.65625,,7.625,,,,,,1.0648150444030762,,,,,
1980-02-15,,1.5625,,7.625,,,,,,1.0679010152816772,,,,,
1980-02-19,,1.59375,,7.5,,,,,,1.0462960004806519,,,,,
1980-02-20,,1.625,,7.375,,,,,,1.055556058883667,,,,,
1980-02-21,,1.53125,,7.375,,,,,,1.0277780294418335,,,,,
1980-02-22,,1.484375,,7.25,,,,,,1.0185190439224243,,,,,
1980-02-25,,1.46875,,7.125,,,,,,1.0,,,,,
1980-02-26,,1.46875,,7.125,,,,,,0.9722219705581665,,,,,
1980-02-27,,1.484375,,7.125,,,,,,0.9629629850387573,,,,,
1980-02-28,,1.5,,7.125,,,,,,0.9814810156822205,,,,,
1980-02-29,,1.53125,,7.0,,,,,,0.9907410144805908,,,,,
1980-03-03,,1.5,,7.0,,,,,,0.9969140291213989,,,,,
1980-03-04,,1.453125,,6.875,,,,,,1.006173014640808,,,,,
1980-03-05,,1.421875,,6.875,,,,,,0.9783949851989746,,,,,
1980-03-06,,1.328125,,6.75,,,,,,0.9783949851989746,,,,,
1980-03-07,,1.328125,,6.75,,,,,,0.9598770141601562,,,,,
1980-03-10,,1.296875,,6.625,,,,,,0.9444440007209778,,,,,
1980-03-11,,1.328125,,6.75,,,,,,0.9537039995193481,,,,,
1980-03-12,,1.375,,6.75,,,,,,0.9413579702377319,,,,,
1980-03-13,,1.4375,,6.75,,,,,,0.9166669845581055,,,,,
1980-03-14,,1.40625,,6.75,,,,,,0.9290120005607605,,,,,
